,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,xword,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,connections,0 mistakes = 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1 = 4; 2 = 3; 3= 2; 4 = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunday,1,0.5
,,pyramid,seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monday,2,0.75
,,bee,non-genius = 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuesday,3,0.75
,,,genius = 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wednesday,4,0.75
,,,queen = 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thursday,5,0.5
,,waffle,# stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,6,0.5
,,wordle,unneeded moves; fail = -1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saturday,7,0.5
,,keyword,seconds. Each guess over six adds 10 seconds. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,flashback,weekly --  # correct (of 8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,xword handicap,,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,75%,75%,75%,50%,50%,50%,50%,,,,,,,,,,
,,,keyword,bob,rank,1,1,1,3,3,4,1,1,3,4,1,4,3,4,2,2,3,1,3,3,4,2,4,4,2,1,1,3,2,1,3,,,,,,,,,,
,,,keyword,stolowd,rank,2,2,2,2,4,3,2,4,1,2,3,3,2,1,1,4,2,2,2,1,1,1,2,2,1,2,2,2,1,3,4,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,quintumble,sary,rank,4,4,2,4,4,1,2,4,1,2,4,4,4,4,3,4,1,4,4,3,3,3,2,2,1,4,4,3,4,1,1,,,,,,2.935483871,,,,
,,,quintumble,sal,rank,1,1,4,1,1,3,2,1,3,1,3,1,3,2,4,2,2,3,1,2,4,2,3,3,1,1,1,2,1,1,1,,,,,,1.967741935,,,,
,,,quintumble,bob,rank,2,1,1,3,3,4,4,2,4,2,1,3,1,3,1,1,2,1,3,4,2,1,1,4,1,2,3,4,3,4,3,,,,,,2.387096774,,,,
,,,quintumble,stolowd,rank,3,3,3,1,1,2,1,3,2,4,2,1,2,1,1,3,2,2,1,1,1,3,4,1,1,3,2,1,2,1,4,,,,,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,flashback,sary,rank,,4,,,,,,,2,,,,,,,3,,,,,,,1,,,,,,,1,,,,,,,,,,,
,,,flashback,sal,rank,,3,,,,,,,2,,,,,,,1,,,,,,,1,,,,,,,3,,,,,,,,,,,
,,,flashback,bob,rank,,1,,,,,,,2,,,,,,,1,,,,,,,1,,,,,,,4,,,,,,,,,,,
,,,flashback,stolowd,rank,,1,,,,,,,1,,,,,,,3,,,,,,,1,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,raw rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,sary,rank,18,24,16,20,21,16,15,20,22,16,17,20,20,20,21,24,12,18,19,16,19,19,15,15,21,20,19,19,16,15,13,,,,,,538,,,,
,,,,sal,rank,13,13,15,13,12,19,16,14,18,16,16,13,12,13,15,18,18,16,9,18,13,18,21,18,11,16,13,12,15,18,8,,,,,,434,,,,
,,,,bob,rank,18,15,17,15,21,20,17,20,19,15,13,17,18,22,15,15,18,18,20,19,21,14,21,17,15,14,14,21,23,24,22,,,,,,512,,,,
,,,,stolowd,rank,14,19,13,13,15,16,12,16,18,14,17,14,15,11,11,18,13,14,15,13,16,13,16,17,13,13,21,12,12,16,22,,,,,,424,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,rank rank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1st place days,,,
